"trial","ref_position","var_area","response","correct","rt"
1,"L",9.17798053310253,"R",TRUE,2.11199998855591
2,"L",9.02498855139129,"R",TRUE,1.99300003051758
3,"L",8.2072869441472,"L",TRUE,1.78999996185303
4,"L",12.8300783350132,"R",TRUE,1.69400000572205
5,"R",13.7423099870794,"L",TRUE,1.49300003051758
6,"R",13.5745189751033,"L",TRUE,1.6969997882843
7,"L",14.2474708545487,"R",TRUE,1.49600005149841
8,"L",8.39949504495598,"L",TRUE,1.48900008201599
9,"R",9.69745557080023,"R",FALSE,1.29200005531311
10,"R",13.556750688469,"L",TRUE,1.50099992752075
11,"L",12.1342196653131,"R",TRUE,2.00599980354309
12,"R",8.1756512846332,"R",TRUE,1.27900004386902
13,"L",11.5683475360274,"R",TRUE,1.29900002479553
14,"L",11.930891478667,"R",TRUE,1.09899997711182
15,"L",9.19590915436856,"R",TRUE,1.18799996376038
16,"L",14.9482943124603,"R",TRUE,1.09200000762939
17,"R",12.1902439342812,"L",TRUE,1.38499999046326
18,"L",14.3466181687545,"R",TRUE,1.18700003623962
19,"R",11.7067288663238,"L",TRUE,1.29699993133545
20,"R",10.7541600549594,"L",TRUE,1.89800000190735
21,"R",8.87923013791442,"R",TRUE,1.08500003814697
22,"R",8.26136064622551,"R",TRUE,0.993000030517578
23,"R",8.41742566111498,"L",FALSE,0.993000030517578
24,"R",8.4831273839809,"R",TRUE,0.891000032424927
